Date : 2020-01-10 10:30:39
Directory : c:\Users\AORUS\Desktop\Work_Echart\EChartSimple
Total : 963 files,  175214 codes, 10070 comments, 13467 blanks, all 198751 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易.html                   | HTML       |         21 |          1 |          4 |         26 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易总览.html              | HTML       |         32 |          1 |          4 |         37 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易总览\各类商品成交趋势.html     | HTML       |         26 |          1 |          3 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易总览\商品成交分类占比.html     | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易总览\商品成交转换率.html      | HTML       |         23 |        112 |          4 |        139 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易总览\客户区域分析.html       | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易总览\客户行业分布占比.html     | HTML       |         28 |          1 |          4 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易总览\搁置需求列表.html       | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易总览\明星商品销量.html       | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易总览\累计需求流失分类占比.html   | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易总览\能源交易左侧图元.html     | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易总览\能源服务商列表.html      | HTML       |         47 |          0 |          4 |         51 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易总览\评分占比.html         | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易总览\需求成交分类占比.html     | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易总览\需求成交转换率.html      | HTML       |         23 |        112 |          4 |        139 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易详情.html              | HTML       |         30 |          1 |          4 |         35 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易详情\上海日月光半导体公司.html   | HTML       |         26 |          0 |          7 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易详情\企业简介.html         | HTML       |         24 |          0 |          5 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易详情\合同评价.html         | HTML       |         24 |          0 |          5 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易详情\商品交易概况.html       | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易详情\商品信息.html         | HTML       |         26 |          0 |          6 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易详情\商品订单数量曲线.html     | HTML       |         26 |          1 |          3 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易详情\商品详情列表.html       | HTML       |         25 |          0 |          4 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易详情\设备购买合同.html       | HTML       |         19 |          0 |          3 |         22 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易详情\需求方-上海通用重工.html   | HTML       |         23 |          0 |          5 |         28 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易详情\需求方.html          | HTML       |         24 |         14 |          5 |         43 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源交易\交易详情\需求详情列表.html       | HTML       |         25 |          0 |          4 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析.html                   | HTML       |         23 |          1 |          4 |         28 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\企业分析.html              | HTML       |         29 |          1 |          4 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\企业分析\企业能耗综合分析.html     | HTML       |         27 |          1 |          3 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\企业分析\功率因数趋势.html       | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\企业分析\区域用能对比.html       | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\企业分析\单位面积能耗趋势.html     | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\企业分析\度电经济产值趋势.html     | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\企业分析\月度区域用能分析.html     | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\企业分析\月度设备用能分析.html     | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\企业分析\碳排放趋势.html        | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\企业分析\综合能耗同比环比对比.html   | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\企业分析\设备用能对比.html       | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\区域分析.html              | HTML       |         29 |          1 |          4 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\区域分析\产业能源消费占比.html     | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\区域分析\区域概况.html         | HTML       |         26 |         10 |          4 |         40 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\区域分析\各区域碳排放.html       | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\区域分析\各区域综合能耗.html      | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\区域分析\各区能效.html         | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\区域分析\各行业万元产值能耗.html    | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\区域分析\各行业综合能耗.html      | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\区域分析\行业能源消费占比.html     | HTML       |         28 |          1 |          4 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\区域分析\近30天耗能趋势.html     | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\区域分析\重点企业监控能耗.html     | HTML       |         26 |          1 |          3 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\客户特征分析.html            | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\客户特征分析\企业标签演变趋势.html   | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\客户特征分析\企业概况.html       | HTML       |         24 |          2 |          4 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\客户特征分析\客户特征分析地图.html   | HTML       |         26 |         35 |          5 |         66 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\客户特征分析\标签企业列表.html     | HTML       |         28 |         21 |          4 |         53 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\客户特征分析\标签分类占比.html     | HTML       |         26 |          0 |          6 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\客户特征分析\标签概况.html       | HTML       |         29 |          1 |          5 |         35 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\客户特征分析\标签调用排行.html     | HTML       |         25 |          0 |          7 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\异常用能分析\人工复检结果.html     | HTML       |         24 |         64 |          4 |         92 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\异常用能分析\企业异常事件.html     | HTML       |         24 |          0 |          4 |         28 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\异常用能分析\企业标签.html       | HTML       |         25 |         13 |          6 |         44 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\异常用能分析\区域异常排名.html     | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\异常用能分析\年度异常原因变化分析.html | HTML       |         27 |          1 |          3 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\异常用能分析\异常事件列表.html     | HTML       |         24 |          0 |          3 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\异常用能分析\异常事件详情.html     | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\异常用能分析\异常原因AI判断.html   | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\异常用能分析\本月异常.html       | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\异常用能分析\行业异常排名.html     | HTML       |         27 |          1 |          3 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\异常用能分析\预判准确率趋势.html    | HTML       |         27 |          1 |          3 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源分析\异常用能源分析.html           | HTML       |         30 |          1 |          4 |         35 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源应用.html                   | HTML       |         32 |          1 |          5 |         38 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源应用\专家入驻趋势.html            | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源应用\专家排行.html              | HTML       |         31 |          0 |          4 |         35 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源应用\优秀成果及孵化项目.html         | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源应用\各类金融类排行.html           | HTML       |         28 |          0 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源应用\合同数量增长趋势.html          | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源应用\成功案例建设趋势.html          | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源应用\成功案例排行.html            | HTML       |         27 |          0 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源应用\最新事件列表.html            | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源应用\能源俱乐部事件排行.html         | HTML       |         30 |          0 |          4 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源应用\能源俱乐部类型分类.html         | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源应用\金融产品接入趋势.html          | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源应用\金融渠道类型分布.html          | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源应用\领域入驻专家.html            | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务.html                   | HTML       |         53 |          1 |          7 |         61 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\定制服务-区域对比.html         | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\定制服务-行业对比.html         | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\定制服务-订单状态.html         | HTML       |         25 |          0 |          5 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\定制服务.html              | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\定制服务列表.html            | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\定制服务消费月排行.html         | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\定制服务用户历史订单.html        | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\定制服务类型分布.html          | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\定制服务订单成果.html          | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\定制服务详情.html            | HTML       |         19 |         43 |          4 |         66 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\定制服务趋势.html            | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\报告订单服务-区域对比.html       | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\报告订单服务-行业对比.html       | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\报告订单服务-订单状态.html       | HTML       |         25 |          0 |          5 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\报告订单服务.html            | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\报告订单服务列表.html          | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\报告订单服务消费月排行.html       | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\报告订单服务用户历史订单.html      | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\报告订单服务类型分布.html        | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\报告订单服务订单成果.html        | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\报告订单服务详情.html          | HTML       |         19 |         43 |          4 |         66 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\报告订单服务趋势.html          | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\接入详情.html              | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\数据接入服务-区域对比.html       | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\数据接入服务-行业对比.html       | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\数据接入服务-订单状态.html       | HTML       |         25 |          0 |          5 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\数据接入服务.html            | HTML       |         23 |          1 |          4 |         28 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\数据接入服务列表.html          | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\数据接入服务类型分布.html        | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\数据接入服务详情.html          | HTML       |         19 |         43 |          4 |         66 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\数据接入服务趋势.html          | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\最新接入企业.html            | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\服务数量年度对比.html          | HTML       |         28 |          1 |          4 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源服务\服务金额年度对比.html          | HTML       |         28 |          1 |          4 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控.html                   | HTML       |         21 |          1 |          4 |         26 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\企业监控.html              | HTML       |         27 |          1 |          5 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\企业监控\企业用能结构.html       | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\企业监控\全区概况.html         | HTML       |         27 |          1 |          6 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\企业监控\区域用户分布占比.html     | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\企业监控\当日能耗-区域属性.html    | HTML       |         26 |          1 |          3 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\企业监控\当日能耗-设备属性.html    | HTML       |         26 |          1 |          3 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\企业监控\日月光半导体.html       | HTML       |         23 |          1 |          1 |         25 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\企业监控\本月用能趋势.html       | HTML       |         26 |          1 |          3 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\企业监控\行业用户分布占比.html     | HTML       |         27 |          0 |          5 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\全景监控.html              | HTML       |         26 |          1 |          6 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\全景监控\全区概况.html         | HTML       |         27 |          1 |          6 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\全景监控\区域用户分布占比.html     | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\全景监控\当月供需对比图.html      | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\全景监控\当月分区消费排名.html     | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\全景监控\当月能源消费重点监测.html   | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\全景监控\当月行业消费排名.html     | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源监控\全景监控\行业用户分布占比.html     | HTML       |         26 |          1 |          4 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理.html                   | HTML       |         46 |          1 |          5 |         52 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\上海通用重工集团有限公司.html      | HTML       |         31 |          1 |          4 |         36 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\事件完成情况.html            | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\企业出力曲线-带标题.html        | HTML       |         30 |          1 |          4 |         35 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\企业出力曲线-纯图片.html        | HTML       |         31 |          1 |          4 |         36 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\企业出力曲线-表-纯图片.html      | HTML       |         31 |          1 |          4 |         36 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\企业出力曲线.html            | HTML       |         27 |          1 |          5 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\企业出力曲线数据绑定版_完结.html    | HTML       |         26 |          0 |          4 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\企业出力曲线数据绑定版_执行.html    | HTML       |         28 |          0 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\削峰填谷事件概览.html          | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\削峰填谷地图.html            | HTML       |         47 |          0 |          5 |         52 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\削峰填谷详情.html            | HTML       |         24 |          1 |          6 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\同意邀约企业.html            | HTML       |         26 |          1 |          5 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\完结-企业出力回顾.html         | HTML       |         31 |          1 |          4 |         36 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\实时全口径负荷.html           | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\底部切换.html              | HTML       |         29 |          0 |          4 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\待应答企业.html             | HTML       |         26 |          1 |          5 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\执行倒计时.html             | HTML       |         38 |          0 |          4 |         42 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\执行进度.html              | HTML       |         29 |          1 |          4 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\拒绝邀约企业.html            | HTML       |         26 |          0 |          4 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\时间轴.html               | HTML       |         64 |          1 |         11 |         76 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\最新削峰填谷事件.html          | HTML       |         25 |          0 |          4 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\线路实时态势.html            | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\虚拟电厂出力曲线.html          | HTML       |         29 |          1 |          4 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\负载曲线.html              | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\邀约倒计时.html             | HTML       |         38 |          0 |          4 |         42 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\邀约进度.html              | HTML       |         29 |          1 |          4 |         34 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\能源管理\高负载线路.html             | HTML       |         25 |          0 |          4 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\驾驶舱.html                    | HTML       |         39 |          1 |          4 |         44 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\驾驶舱\全区用能概况.html             | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\驾驶舱\削峰填谷事件概览.html           | HTML       |         27 |          1 |          4 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\驾驶舱\合同数量增长趋势.html           | HTML       |         26 |          1 |          3 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\驾驶舱\最新削峰填谷事件.html           | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\驾驶舱\最新异常事件.html             | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\驾驶舱\服务概况-个性化定制服务.html       | HTML       |         26 |          0 |          4 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\驾驶舱\服务概况-分析报告订单服务.html      | HTML       |         26 |          0 |          4 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\驾驶舱\服务概况-数据接入服务.html        | HTML       |         26 |          0 |          4 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\驾驶舱\本月异常用能事件.html           | HTML       |         23 |          0 |          4 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\驾驶舱\标签云.html                | HTML       |         28 |          1 |          3 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\驾驶舱\标签云_New.html            | HTML       |         32 |          2 |          4 |         38 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\html\监控版\驾驶舱\标签全生命周期.html            | HTML       |         26 |          0 |          6 |         32 |
